be,was/were,been,être
beat,beat,beaten,battre
become,became,become,devenir
begin,began,begun,commencer
bet,bet,bet,parier
bind,bound,bound,relier (un livre)
bite,bit,bitten,mordre
bleed,bled,bled,saigner
blow (blow one’s nose),blew,blown,souffler (se moucher)
break,broke,broken,casser
bring,brought,brought,apporter
build,built,built,construire
burn,burnt,burnt,brûler
burst (burst into),burst,burst,éclater (faire irruption)
buy,bought,bought,acheter
catch,caught,caught,attraper
choose,chose,chosen,choisir
come,came,come,venir
cost,cost,cost,coûter
cut,cut,cut,couper
do,did,done,faire
draw,drew,drown,dessiner
dream,dreamt,dreamt,rêver
drink,drank,drunk,boire
drive,drove,driven,conduire
eat,ate,eaten,manger
fall,fell,fallen,tomber
feed,fed,fed,nourrir
feel,felt,felt,"se sentir, ressentir"
fight,fought,fought,se battre
find,found,found,trouver
fly,flew,flown,voler
forget,forgot,forgotten,oublier
forgive,forgave,forgiven,pardonner
freeze,froze,frozen,"geler, se figer"
get (get into),got,got,obtenir (monter dans)
give,gave,given,donner
go,went,gone,aller
grow,grew,grown,grandir
hang (hang out),hung,hung,"pendre, suspendre (traîner)"
have,had,had,avoir
hear,heard,heard,entendre
hide,hid,hidden,cacher
hit,hit,hit,frapper
hold,held,held,tenir
hurt,hurt,hurt,"blesser, faire mal, avoir mal"
keep (keep going),kept,kept,garder (continuer)
know,knew,known,"savoir, connaître"
lay (lay the table),laid,laid,poser (mettre la table)
learn,learn,learn,apprendre
leave,left,left,"quitter, partir, laisser"
lend (lend a hand/an ear),lent,lent,prêter (donner un coup de main/prêter une oreille attentive)
let (let down),let,let,"permettre, laisser (laisser tomber)"
lie,lay,lain,s'allonger
lose,lost,lost,perdre
make,made,made,"faire, fabriquer"
mean,meant,meant,vouloir dire
meet,met,met,rencontrer
pay,paid,paid,payer
put,put,put,mettre
read,read,read,lire
rent,rent,rent,louer
ride,rode,ridden,"aller à bicyclette, à cheval"
ring,rang,rung,sonner
rise,rose,risen,"monter, s’élever"
run,ran,run,courir
say,said,said,dire
see,saw,seen,voir
sell,sold,sold,vendre
send,sent,sent,envoyer
set (set the table),set,set,"poser, placer, mettre (la table)"
shake,shook,shaken,trembler
shine,shone,shone,briller
shoot,shot,shot,"tirer, marquer, tourner (un film)"
show (show off),showed,shown,montrer (se vanter)
shut,shut,shut,fermer
sing,sang,sung,chanter
sit (down),sat,sat,s’assoir
sleep,slept,slept,dormir
smell,smelt,smelt,sentir (odorat)
speak,spoke,spoken,parler
spend,spent,spent,"dépenser (de l’argent), passer (du temps)"
spread,spread,spread,"étaler, répandre"
stand,stood,stood,se tenir debout
steal,stole,stolen,"voler, dérober"
strike (a deal),struck,struck,"frapper, donner un coup (passer un accord)"
swear,swore,sworn,jurer
swim,swam,swum,nager
take,took,taken,prendre
teach,taught,taught,"enseigner, apprendre"
tear,tore,torn,déchirer
tell,told,told,"dire, raconter"
think,thought,thought,penser
throw,threw,thrown,"jeter, lancer"
understand,understood,understood,comprendre
upset,upset,upset,contrarier
wake up,woke up,woken up,se réveiller
wear,wore,worn,porter (vêtements)
win,won,won,gagner
write,wrote,written,écrire
